Muni Code,TreasuryCode,Municipality Name,MuniType,County,Record ID,Block,Lot,Permit Number,Status,Permit Status Description,Permit Date,Certificate Date,Permit Type,Permit Type Description,Update,Certificate Type,Certificate Type Description,Certificate Count,Building Fee,Plumbing Fee,Electrical Fee,Fire Fee,DCA Fee,Certificate Fee,Elevator Fee,Other Fee,Total Fee,Volume,Square Feet,Construction Cost,Sale Units Gained,Rental Units Gained,Use Group,Use Group Description,Census Item Number,Census Item Number Description,Public,Storage,Manufactured,Hud Seal,Source,Source Description,Version,Process Date,PK
0906,0906,JERSEY CITY,CITY,HUDSON,00000039,16204,1,20133461,C,Certificate,05/25/2018,06/06/2018,04,New,,CA,Certificate of Approval,2,129,0,0,0,95,0,0,0,224,1,1,50000,0,0,A-5,"Outdoor Activities, Grandstands, stadiums, tents, coliseums, etc.",999,Out of Scope OTHER,X,,,,SDL,Spatial Data Logic,002,04/07/2020,090600000039
0906,0906,JERSEY CITY,CITY,HUDSON,00000058,24401,1,19-90133,P,Permit,05/23/2019,,04,New,,,,0,129,0,0,0,190,0,0,0,293,57600,11520,100000,0,0,A-5,"Outdoor Activities, Grandstands, stadiums, tents, coliseums, etc.",999,Out of Scope OTHER,X,,,,PNJ,PermitsNJ,001,06/07/2019,090600000058
0906,0906,JERSEY CITY,CITY,HUDSON,00000068,7302,1,19-90203,P,Permit,08/21/2019,,04,New,,,,0,4006,257,8162,0,708,0,0,0,10648,190774,6154,13524000,0,0,S-2,"Storage building, low hazard",999,Out of Scope OTHER,X,,,,PNJ,PermitsNJ,001,09/10/2019,090600000068
0906,0906,JERSEY CITY,CITY,HUDSON,00000091,7302,1,19-90203+A,P,Permit,09/01/2020,,04,New,X,,,0,11184,0,27,101,897,0,0,0,9946,1,1,997000,0,0,S-2,"Storage building, low hazard",999,Out of Scope OTHER,X,,,,PNJ,PermitsNJ,001,10/07/2020,090600000091
0906,0906,JERSEY CITY,CITY,HUDSON,00000093,15904,6,20-90205,P,Permit,10/29/2020,,04,New,,,,0,129,0,0,0,106,0,0,0,210,30208,1536,56000,0,0,B,Business Uses,999,Out of Scope OTHER,X,,,,PNJ,PermitsNJ,001,11/09/2020,090600000093
0906,0906,JERSEY CITY,CITY,HUDSON,00000965,4001,1,20063765,C,Certificate,08/03/2006,06/17/2020,04,New,,CO,Certificate of Occupancy,1,57848,45620,25922,10209,7156,100,0,0,146855,2142500,204495,9900000,124,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,07/30/2020,090600000965
0906,0906,JERSEY CITY,CITY,HUDSON,00000973,6006,2,20112275,C,Certificate,08/16/2011,08/12/2013,04,New,,TCO,Temporary Certificate of Occupancy,10,102657,46880,38899,4742,12699,50,0,0,205927,3802125,1,37900000,0,155,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,08/07/2017,090600000973
0906,0906,JERSEY CITY,CITY,HUDSON,00002231,8803,12,20134327,C,Certificate,11/20/2013,10/02/2015,04,New,,CO,Certificate of Occupancy,1,4380,0,0,0,542,100,0,0,5022,162215,18424,1500000,24,0,R-2,"Multiple family dwellings, dormitories, etc.",104,3 & 4 Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/08/2018,090600002231
0906,0906,JERSEY CITY,CITY,HUDSON,00002665,6304,5,20132081+A,C,Certificate,12/19/2013,01/22/2016,04,New,X,CO,Certificate of Occupancy,3,5350,13840,6415,476,662,0,0,0,26743,198145,41910,2903900,0,0,R-2,"Multiple family dwellings, dormitories, etc.",104,3 & 4 Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/08/2018,090600002665
0906,0906,JERSEY CITY,CITY,HUDSON,00003424,14002,1.03,20131722+B,C,Certificate,02/20/2014,02/26/2016,04,New,X,CO,Certificate of Occupancy,2,8936,6810,4845,277,1105,100,0,0,22073,330965,30473,3810000,0,0,R-2,"Multiple family dwellings, dormitories, etc.",104,3 & 4 Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/08/2018,090600003424
0906,0906,JERSEY CITY,CITY,HUDSON,00003872,10203,16,20140565,C,Certificate,03/04/2014,06/21/2018,04,New,,CO,Certificate of Occupancy,1,916,1450,485,85,113,100,0,0,3149,33935,2909,208100,2,0,R-5,International Residential Code,101,Single-Family Detached NEW,,,,,SDL,Spatial Data Logic,002,07/09/2018,090600003872
0906,0906,JERSEY CITY,CITY,HUDSON,00004195,14102,1,20140191+C,C,Certificate,05/02/2014,07/27/2015,04,New,X,CO,Certificate of Occupancy,4,51010,0,0,0,6310,0,0,0,57320,1889258,151749,12350000,0,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/08/2018,090600004195
0906,0906,JERSEY CITY,CITY,HUDSON,00004288,15601,6.01,20141270,C,Certificate,05/01/2014,04/29/2016,04,New,,CO,Certificate of Occupancy,1,0,0,0,0,0,0,0,0,0,164330,15284,1200000,0,0,R-2,"Multiple family dwellings, dormitories, etc.",104,3 & 4 Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,07/07/2021,090600004288
0906,0906,JERSEY CITY,CITY,HUDSON,00004466,6006,1.01,20133307+C,C,Certificate,04/23/2014,01/17/2017,04,New,X,CO,Certificate of Occupancy,1,144510,74940,54578,2632,17876,100,0,0,294636,5352210,535221,40560124,0,0,R-2,"Multiple family dwellings, dormitories, etc.",104,3 & 4 Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,07/07/2022,090600004466
0906,0906,JERSEY CITY,CITY,HUDSON,00004519,14002,1.02,20133649+C,C,Certificate,04/01/2014,10/13/2015,04,New,,TCO,Temporary Certificate of Occupancy,3,44274,0,0,0,5477,0,0,0,49751,1639790,183000,30000000,0,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/08/2018,090600004519
0906,0906,JERSEY CITY,CITY,HUDSON,00004899,3403,10,20141370,C,Certificate,05/05/2014,11/23/2021,04,New,,CA,Certificate of Approval,1,1195,0,0,0,148,0,0,0,1343,44242,390374,15000,2,0,R-5,International Residential Code,101,Single-Family Detached NEW,,,,,SDL,Spatial Data Logic,002,12/07/2021,090600004899
0906,0906,JERSEY CITY,CITY,HUDSON,00004992,5602,58,20141486,C,Certificate,05/13/2014,08/24/2016,04,New,,CO,Certificate of Occupancy,2,1567,1320,540,285,194,100,0,0,4006,58043,5665,229500,2,0,R-5,International Residential Code,101,Single-Family Detached NEW,,,,,SDL,Spatial Data Logic,002,02/08/2018,090600004992
0906,0906,JERSEY CITY,CITY,HUDSON,00005489,23404,38,20142037,C,Certificate,06/27/2014,04/23/2019,04,New,,CO,Certificate of Occupancy,1,1201,1620,445,85,149,100,0,0,3600,44469,2800,116000,2,0,R-5,International Residential Code,101,Single-Family Detached NEW,,,,,SDL,Spatial Data Logic,002,05/07/2019,090600005489
