comu,treasurycode,muniname,munitype,county,recordid,block,lot,permitno,status,permitstatusdesc,permitdate,permittype,permittypedesc,certcount,buildfee,plumbfee,electfee,firefee,dcafee,certfee,elevfee,otherfee,totalfee,cubic,squarefeet,constcost,salegained,rentgained,usegroup,usegroupdesc,censusnumber,censusdesc,public,source,sourcedesc,version,processdate,pk,certdate,certtype,certtypedesc,update,storage
0906,0906,JERSEY CITY,CITY,HUDSON,00000062,24401,1,19-80248,P,Permit,2019-07-17T04:00:00Z,13,Demolition,0,92,0,0,0,0,0,0,0,92,0,0,26000,0,0,A-3,"Lecture halls, Art Galleries, Churches, etc.",999,Out of Scope OTHER,X,PNJ,PermitsNJ,001,2019-08-09T04:00:00Z,090600000062,NA,NA,NA,NA,NA
0906,0906,JERSEY CITY,CITY,HUDSON,00000087,29701,27,20-90130,P,Permit,2020-06-16T04:00:00Z,13,Demolition,0,0,0,0,0,0,0,0,0,0,0,0,18500,0,0,S-1,"Storage building, moderate hazard",999,Out of Scope OTHER,X,PNJ,PermitsNJ,001,2020-06-19T04:00:00Z,090600000087,NA,NA,NA,NA,NA
0906,0906,JERSEY CITY,CITY,HUDSON,00001924,12704,29,20134298,C,Certificate,2013-11-19T05:00:00Z,13,Demolition,1,200,0,0,0,0,0,0,0,200,0,0,20000,0,0,B,Business Uses,999,Out of Scope OTHER,NA,SDL,Spatial Data Logic,002,2021-12-07T05:00:00Z,090600001924,2021-11-22T05:00:00Z,CA,Certificate of Approval,NA,NA
0906,0906,JERSEY CITY,CITY,HUDSON,00002561,29701,16,20134517,C,Certificate,2013-12-06T05:00:00Z,13,Demolition,1,200,0,0,0,0,0,0,0,200,0,0,14000,-2,0,R-3,"One and two family units, 5 lodgers or less each",999,Out of Scope OTHER,NA,SDL,Spatial Data Logic,002,2021-07-07T04:00:00Z,090600002561,2021-06-30T04:00:00Z,CA,Certificate of Approval,NA,NA
0906,0906,JERSEY CITY,CITY,HUDSON,00004239,3403,10,20141009,C,Certificate,2014-04-11T04:00:00Z,13,Demolition,1,200,0,0,0,0,0,0,0,200,0,0,15000,-2,-2,R-3,"One and two family units, 5 lodgers or less each",999,Out of Scope OTHER,NA,SDL,Spatial Data Logic,002,2021-12-07T05:00:00Z,090600004239,2021-11-23T05:00:00Z,CA,Certificate of Approval,NA,NA
0906,0906,JERSEY CITY,CITY,HUDSON,00005876,22501,47,20142084,C,Certificate,2014-07-01T04:00:00Z,13,Demolition,1,200,0,0,0,0,0,0,0,200,0,0,10000,0,-1,R-3,"One and two family units, 5 lodgers or less each",999,Out of Scope OTHER,NA,SDL,Spatial Data Logic,002,2020-06-08T04:00:00Z,090600005876,2020-05-11T04:00:00Z,CA,Certificate of Approval,NA,NA
0906,0906,JERSEY CITY,CITY,HUDSON,00007402,2104,20,20143452,C,Certificate,2014-10-15T04:00:00Z,13,Demolition,1,200,0,0,0,0,0,0,0,200,0,0,10000,0,-2,R-3,"One and two family units, 5 lodgers or less each",999,Out of Scope OTHER,NA,SDL,Spatial Data Logic,002,2022-03-07T05:00:00Z,090600007402,2022-02-03T05:00:00Z,CA,Certificate of Approval,NA,NA
0906,0906,JERSEY CITY,CITY,HUDSON,00008126,4403,48,20143954,C,Certificate,2014-11-17T05:00:00Z,13,Demolition,1,200,0,0,0,0,0,0,0,200,0,0,10000,-2,0,R-3,"One and two family units, 5 lodgers or less each",999,Out of Scope OTHER,NA,SDL,Spatial Data Logic,002,2022-02-07T05:00:00Z,090600008126,2022-01-14T05:00:00Z,CA,Certificate of Approval,NA,NA
0906,0906,JERSEY CITY,CITY,HUDSON,00008162,1405,34,20144058,C,Certificate,2014-11-24T05:00:00Z,13,Demolition,1,200,0,0,0,0,0,0,0,200,0,0,7500,-1,0,R-3,"One and two family units, 5 lodgers or less each",999,Out of Scope OTHER,NA,SDL,Spatial Data Logic,002,2021-12-07T05:00:00Z,090600008162,2021-11-23T05:00:00Z,CA,Certificate of Approval,NA,NA
0906,0906,JERSEY CITY,CITY,HUDSON,00008712,11405,3,20144279,C,Certificate,2014-12-11T05:00:00Z,13,Demolition,2,200,0,0,0,0,0,0,0,200,0,0,12000,0,-2,R-5,International Residential Code,999,Out of Scope OTHER,NA,SDL,Spatial Data Logic,002,2018-04-09T04:00:00Z,090600008712,2015-04-07T04:00:00Z,CA,Certificate of Approval,NA,NA
